Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
Alex Bregman,HOU,156,690,41,122,112,5,0.172463768,0.120289855,0.296028881,0.280821917,0.29602888,0.423188405,0.592057761,0.418430228,0.374715811,167.294541,-1.126796423,58.21940207,2.557726204,8.326403599,Alex Bregman,17678,608324
Cody Bellinger,LAD,156,660,47,121,115,15,0.143939393,0.163636363,0.32437276,0.302211302,0.304659498,0.406060606,0.629032258,0.414925652,0.429698409,160.6218182,1.473940226,54.26234726,4.55390501,7.760292147,Cody Bellinger,15998,641355
Mike Trout,LAA,134,600,45,110,104,11,0.183333333,0.2,0.35319149,0.297734627,0.291489361,0.438333333,0.644680851,0.43643016,0.461113266,176.5642238,2.562475904,61.27640082,-4.226643562,7.648295272,Mike Trout,10155,545361
Anthony Rendon,WSN,146,646,34,117,126,5,0.123839009,0.133126934,0.278899082,0.322580645,0.319266055,0.411764705,0.598165137,0.412648542,0.414034231,154.7779765,-0.769032552,45.91884886,3.151805639,6.770290289,Anthony Rendon,12861,543685
Christian Yelich,MIL,130,580,44,100,97,30,0.137931034,0.203448275,0.341513293,0.354545454,0.329243353,0.429310344,0.670756646,0.441594131,0.426047158,174.1123611,7.135721189,63.84894126,-14.068151,6.634503906,Christian Yelich,11477,592885
Marcus Semien,OAK,162,747,33,123,92,10,0.116465863,0.136546184,0.237442923,0.294455066,0.284627092,0.369477911,0.522070015,0.372586551,0.362238941,137.6770368,-0.09320517,35.87852438,4.052928686,6.501892563,Marcus Semien,12533,543760
Rafael Devers,BOS,156,702,32,129,115,8,0.068376068,0.169515669,0.244204019,0.339357429,0.310664605,0.360912981,0.554868624,0.37692569,0.366744533,132.3260746,-1.700844023,27.30289987,13.87102032,6.464531977,Rafael Devers,17350,646240
Ketel Marte,ARI,144,628,32,97,92,10,0.084394904,0.136942675,0.263620387,0.342163355,0.328646748,0.388535031,0.592267135,0.404736243,0.375014258,149.8557851,3.821385671,45.13002278,0.145575523,6.345841359,Ketel Marte,13613,606466
Nolan Arenado,COL,155,662,41,102,118,3,0.093655589,0.140483383,0.268707483,0.311688311,0.31462585,0.379154078,0.583333333,0.391557436,0.342634257,129.5325384,-1.059285114,24.73505548,17.23443794,6.130209431,Nolan Arenado,9777,571448
George Springer,HOU,122,556,39,96,96,6,0.120503597,0.20323741,0.298538622,0.305135951,0.292275574,0.383093525,0.590814196,0.400479888,0.400424929,155.1542458,2.221016308,41.41484776,1.262007236,6.097761155,George Springer,12856,543807
Francisco Lindor,CLE,143,654,32,101,74,22,0.070336391,0.149847094,0.234113712,0.29113924,0.284280936,0.335375191,0.518394648,0.349333224,0.334359254,117.932826,0.540099718,15.52971418,23.22667551,6.061148195,Francisco Lindor,12916,596019
Trevor Story,COL,145,656,35,111,85,23,0.088414634,0.265243902,0.260204081,0.361256544,0.294217687,0.362804878,0.554421768,0.380253602,0.340738358,122.1265905,2.326356366,21.47702767,19.68456745,6.033125528,Trevor Story,12564,596115
Xander Bogaerts,BOS,155,698,33,110,117,4,0.108882521,0.1747851,0.245928338,0.337634408,0.309446254,0.383954154,0.555374592,0.389511807,0.356241012,140.8384025,0.271440004,36.7038706,-0.208702564,5.99604749,Xander Bogaerts,12161,593428
J.T. Realmuto,PHI,145,593,25,92,83,9,0.069139966,0.207419898,0.217472119,0.309045226,0.275092936,0.327702702,0.492565055,0.339728704,0.341070479,107.3513143,5.345227912,11.09678384,30.82092381,5.911112047,J.T. Realmuto,11739,592663
Mookie Betts,BOS,150,706,29,135,80,16,0.137393767,0.14305949,0.229480737,0.308823529,0.29480737,0.390934844,0.524288107,0.380332258,0.411026482,134.6300281,3.249161009,34.49711052,-0.276937962,5.803178078,Mookie Betts,13611,605141
DJ LeMahieu,NYY,145,655,26,109,102,5,0.070229007,0.13740458,0.191029901,0.348979591,0.327242524,0.374617737,0.518272425,0.374762164,0.377711002,136.0254966,-1.40369647,28.7551867,6.706871986,5.744689248,DJ LeMahieu,9874,518934
Yasmani Grandal,MIL,153,632,28,79,77,5,0.172468354,0.219936708,0.222222222,0.279202279,0.245614035,0.379746835,0.467836257,0.360838748,0.367850004,121.2037504,-2.954612279,14.72592365,24.14785588,5.736456898,Yasmani Grandal,11368,518735
Javier Báez,CHC,138,561,29,89,85,11,0.049910873,0.278074866,0.25047081,0.344827586,0.280602636,0.315508021,0.531073446,0.347101393,0.333819187,112.341343,1.368111647,10.50274138,29.04635715,5.5817767,Javier Baez,12979,595879
Matt Chapman,OAK,156,670,36,102,91,1,0.108955223,0.219402985,0.25728988,0.270471464,0.24871355,0.341791044,0.50600343,0.354306925,0.358682859,125.3140369,-1.418990841,20.25805973,11.58452487,5.445817454,Matt Chapman,16505,656305
Juan Soto,WSN,150,659,34,110,110,12,0.163884673,0.20030349,0.265682657,0.311518324,0.282287822,0.40060698,0.547970479,0.394007508,0.408655903,142.5649061,0.338190584,37.3467992,-2.524539471,5.426707508,Juan Soto,20123,665742
Josh Donaldson,ATL,155,659,37,96,94,4,0.151745068,0.235204855,0.262295082,0.292479108,0.258652094,0.37936267,0.520947176,0.377362353,0.384600658,131.011825,-1.828165097,25.13546761,7.609509468,5.224945743,Josh Donaldson,5038,518626
Yoán Moncada,CHW,132,559,25,83,79,10,0.07155635,0.275491949,0.232876712,0.405970149,0.315068493,0.367383512,0.547945205,0.3794245,0.357524453,139.2602662,-0.045449351,28.00430269,4.961237192,5.165058997,Yoan Moncada,17232,660162
Ronald Acuña Jr.,ATL,156,715,41,127,101,37,0.106293706,0.262937062,0.238019169,0.336683417,0.279552715,0.365168539,0.517571884,0.368893461,0.390799429,125.4632495,6.438507109,30.45920005,-1.673091322,5.014165798,Ronald Acuna Jr.,18401,660670
Jose Altuve,HOU,124,548,31,89,74,6,0.074817518,0.149635036,0.252,0.302564102,0.298,0.352833638,0.55,0.373944718,0.342876637,137.2078007,-0.516891446,25.54335613,5.844483614,4.973188893,Jose Altuve,5417,514888
Jeff McNeil,NYM,133,567,23,83,75,5,0.061728395,0.132275132,0.213725491,0.336561743,0.317647058,0.384479717,0.531372549,0.384452328,0.350147905,144.1282974,-2.760237863,30.2513104,0.943246126,4.788933506,Jeff McNeil,15362,643446
Carlos Santana,CLE,158,686,34,110,93,4,0.157434402,0.157434402,0.233856893,0.29330254,0.280977312,0.396501457,0.514834205,0.379645974,0.367120666,138.4341499,1.0327663,34.73086316,-10.78663242,4.734859717,Carlos Santana,2396,467793
Pete Alonso,NYM,161,693,53,103,120,1,0.103896103,0.264069264,0.323283082,0.28021978,0.25963149,0.357864357,0.582914572,0.384117686,0.380010252,143.9090498,0.601474014,40.74845917,-14.3705616,4.712008276,Pete Alonso,19251,624413
Nelson Cruz,MIN,120,521,41,81,108,0,0.107485604,0.251439539,0.328193832,0.350877192,0.310572687,0.392307692,0.638766519,0.417331708,0.415964145,164.0215981,-2.439675643,40.19158867,-12.31481457,4.537343866,Nelson Cruz,2434,443558
Tim Anderson,CHW,123,518,18,81,56,17,0.028957528,0.21042471,0.172690763,0.399463806,0.335341365,0.357142857,0.508032128,0.363129382,0.321102452,128.2394419,2.052628315,20.74867775,6.835671663,4.49840541,Tim Anderson,15172,641313
Freddie Freeman,ATL,158,692,38,113,121,6,0.125722543,0.183526011,0.254606365,0.31797235,0.29480737,0.388728323,0.549413735,0.387084588,0.393897977,137.3815543,-0.259862415,33.86957368,-10.78181243,4.389342351,Freddie Freeman,5361,518692
Max Muncy,LAD,141,589,35,101,98,4,0.152801358,0.252971137,0.264887063,0.283387622,0.250513347,0.373514431,0.51540041,0.372490127,0.380195329,132.8192793,0.225840271,25.72993998,0.587683678,4.383501471,Max Muncy,13301,571970
Trea Turner,WSN,122,569,19,96,57,35,0.075571177,0.198594024,0.199616123,0.347826086,0.297504798,0.353251318,0.497120921,0.355759513,0.339490722,117.5059167,7.218098367,20.36013847,6.595152736,4.383388113,Trea Turner,16252,607208
Kris Bryant,CHC,147,634,31,108,77,4,0.116719242,0.228706624,0.239410682,0.330623306,0.281767955,0.38170347,0.521178637,0.379468948,0.350588152,133.5476365,0.815973265,28.87785887,-4.196476817,4.364186296,Kris Bryant,15429,592178
Eugenio Suárez,CIN,159,662,49,87,103,3,0.105740181,0.285498489,0.300869566,0.311953352,0.271304347,0.358006042,0.572173913,0.38071448,0.355239773,130.4877274,-3.986923203,22.64169958,0.855936766,4.336079745,Eugenio Suarez,12552,553993
Austin Meadows,TBR,138,591,33,83,89,12,0.091370558,0.221658206,0.267924529,0.330601092,0.290566037,0.363790186,0.558490566,0.379617652,0.374843891,143.8846563,-1.573008943,31.57551244,-9.117780417,4.256842401,Austin Meadows,15672,640457
